img_id,img_name,img_width,img_height,total_valid_instances,hard_instance_num,hard_instance_ratio,is_complex_image,complex_label,Point-only_mIoU,Box-only_mIoU,Point+Box(Adaptive)_mIoU
410735,000000410735.jpg,640,512,6,2,0.3333,False,简单图片,0.5433,0.8808,0.8915
494188,000000494188.jpg,480,640,16,7,0.4375,False,简单图片,0.585,0.8238,0.7443
92177,000000092177.jpg,626,640,3,0,0.0,False,简单图片,0.6689,0.8113,0.8084
252716,000000252716.jpg,426,640,2,1,0.5,True,复杂图片,0.5995,0.8869,0.8881
541055,000000541055.jpg,640,360,11,9,0.8182,True,复杂图片,0.1982,0.6573,0.5944
549930,000000549930.jpg,640,558,11,10,0.9091,True,复杂图片,0.5017,0.6567,0.5787
577862,000000577862.jpg,640,424,2,2,1.0,True,复杂图片,0.727,0.8062,0.8117
129416,000000129416.jpg,500,375,9,6,0.6667,True,复杂图片,0.6862,0.7139,0.7057
181859,000000181859.jpg,426,640,2,1,0.5,True,复杂图片,0.4561,0.8071,0.5065
572408,000000572408.jpg,424,640,5,1,0.2,False,简单图片,0.8104,0.8216,0.8319
574297,000000574297.jpg,640,427,2,2,1.0,True,复杂图片,0.5967,0.8198,0.8284
416745,000000416745.jpg,612,612,2,0,0.0,False,简单图片,0.2968,0.8392,0.7585
473869,000000473869.jpg,640,427,11,2,0.1818,False,简单图片,0.6418,0.7056,0.7131
189436,000000189436.jpg,480,640,5,2,0.4,False,简单图片,0.6419,0.9122,0.8388
363207,000000363207.jpg,640,480,14,3,0.2143,False,简单图片,0.5933,0.7888,0.7927
341921,000000341921.jpg,640,478,6,4,0.6667,True,复杂图片,0.6697,0.8677,0.8767
480021,000000480021.jpg,640,471,9,5,0.5556,True,复杂图片,0.4218,0.8227,0.6966
162858,000000162858.jpg,428,640,16,5,0.3125,False,简单图片,0.6056,0.824,0.8043
555009,000000555009.jpg,500,375,9,1,0.1111,False,简单图片,0.6727,0.909,0.8944
33368,000000033368.jpg,427,640,2,1,0.5,True,复杂图片,0.573,0.8622,0.8615
163290,000000163290.jpg,480,640,3,3,1.0,True,复杂图片,0.5941,0.7586,0.7363
293300,000000293300.jpg,640,427,3,1,0.3333,False,简单图片,0.4502,0.8148,0.7843
153568,000000153568.jpg,500,400,1,0,0.0,False,简单图片,0.029,0.9827,0.9821
1532,000000001532.jpg,640,480,8,1,0.125,False,简单图片,0.6663,0.8564,0.8545
577932,000000577932.jpg,640,543,21,11,0.5238,True,复杂图片,0.6612,0.8365,0.7504
135670,000000135670.jpg,375,500,1,0,0.0,False,简单图片,0.8348,0.8792,0.881
