img_id,img_name,Point-only_mIoU,Point(Adaptive)_mIoU,is_complex_image,complex_label
410735,000000410735.jpg,0.576,0.4706,False,简单图片
494188,000000494188.jpg,0.5828,0.6038,True,复杂图片
92177,000000092177.jpg,0.5539,0.7403,False,简单图片
252716,000000252716.jpg,0.6005,0.8954,True,复杂图片
541055,000000541055.jpg,0.1544,0.2642,True,复杂图片
549930,000000549930.jpg,0.525,0.5481,True,复杂图片
577862,000000577862.jpg,0.646,0.6894,True,复杂图片
129416,000000129416.jpg,0.6807,0.672,True,复杂图片
181859,000000181859.jpg,0.4568,0.5566,True,复杂图片
572408,000000572408.jpg,0.6277,0.7624,False,简单图片
574297,000000574297.jpg,0.6447,0.622,True,复杂图片
416745,000000416745.jpg,0.2903,0.2761,False,简单图片
473869,000000473869.jpg,0.6022,0.6177,False,简单图片
189436,000000189436.jpg,0.4882,0.8713,False,简单图片
363207,000000363207.jpg,0.5933,0.5951,False,简单图片
341921,000000341921.jpg,0.7076,0.6968,True,复杂图片
480021,000000480021.jpg,0.41,0.6197,True,复杂图片
162858,000000162858.jpg,0.559,0.6174,False,简单图片
555009,000000555009.jpg,0.6722,0.717,False,简单图片
33368,000000033368.jpg,0.8588,0.8582,True,复杂图片
163290,000000163290.jpg,0.4965,0.6106,True,复杂图片
293300,000000293300.jpg,0.7376,0.6753,False,简单图片
153568,000000153568.jpg,0.0295,0.029,False,简单图片
1532,000000001532.jpg,0.5404,0.6121,False,简单图片
577932,000000577932.jpg,0.6382,0.6525,True,复杂图片
135670,000000135670.jpg,0.0218,0.0359,False,简单图片
516916,000000516916.jpg,0.6939,0.6286,False,简单图片
105264,000000105264.jpg,0.5026,0.7552,True,复杂图片
370478,000000370478.jpg,0.6931,0.4696,False,简单图片
511647,000000511647.jpg,0.7678,0.7461,True,复杂图片
324614,000000324614.jpg,0.1309,0.1418,False,简单图片
344100,000000344100.jpg,0.6063,0.6086,False,简单图片
365207,000000365207.jpg,0.5486,0.6125,False,简单图片
342295,000000342295.jpg,0.5703,0.5694,False,简单图片
60770,000000060770.jpg,0.4741,0.4565,True,复杂图片
23899,000000023899.jpg,0.5922,0.5375,False,简单图片
409475,000000409475.jpg,0.8853,0.4227,True,复杂图片
393115,000000393115.jpg,0.0183,0.0454,False,简单图片
82696,000000082696.jpg,0.4887,0.4947,True,复杂图片
509008,000000509008.jpg,0.9549,0.9714,False,简单图片
