img_id,valid_inst,hard_inst,hard_ratio,is_complex,point_only_miou,adaptive_miou,improvement
2008_005838,2,0,0.0,False,0.1146,0.115,0.0004
2008_000132,3,3,1.0,True,0.4572,0.6889,0.2317
2010_002402,3,3,1.0,True,0.3809,0.4444,0.0635
2010_000418,1,1,1.0,True,0.2968,0.3545,0.0577
2009_004307,1,0,0.0,False,0.758,0.756,-0.002
2008_007709,1,0,0.0,False,0.3127,0.3038,-0.0089
2008_005251,1,0,0.0,False,0.1256,0.1261,0.0005
2008_004239,1,1,1.0,True,0.0209,0.2835,0.2626
2011_004957,1,0,0.0,False,0.0045,0.0045,0.0
2008_000572,2,0,0.0,False,0.2586,0.4132,0.1546
2008_000443,1,0,0.0,False,0.1393,0.1314,-0.0079
2008_004662,3,1,0.3333,False,0.5631,0.5396,-0.0235
2009_004032,9,5,0.5556,True,0.419,0.3402,-0.0788
2009_004929,1,0,0.0,False,0.3603,0.3454,-0.0149
2012_003213,1,0,0.0,False,0.3675,0.3662,-0.0013
2008_000236,1,0,0.0,False,0.1743,0.7295,0.5552
2009_002752,3,3,1.0,True,0.5394,0.5663,0.0269
2011_004785,1,0,0.0,False,0.0331,0.0152,-0.0179
2009_004141,1,0,0.0,False,0.2483,0.2349,-0.0134
2011_006737,1,0,0.0,False,0.0376,0.0377,0.0001
2010_002614,1,0,0.0,False,0.5862,0.5922,0.006
2007_003118,5,5,1.0,True,0.7482,0.6708,-0.0774
2009_000260,1,1,1.0,True,0.0138,0.4133,0.3995
2011_004991,1,0,0.0,False,0.0033,0.0028,-0.0005
2010_006670,1,0,0.0,False,0.3536,0.3409,-0.0127
2010_002587,1,0,0.0,False,0.7429,0.6789,-0.064
2008_008772,1,0,0.0,False,0.0395,0.5318,0.4923
2009_003805,1,1,1.0,True,0.013,0.1289,0.1159
2010_006411,1,0,0.0,False,0.497,0.4959,-0.0011
2008_005236,5,3,0.6,True,0.2164,0.2376,0.0212
2008_004607,1,1,1.0,True,0.132,0.8524,0.7204
2011_002191,2,0,0.0,False,0.1787,0.1799,0.0012
2008_004866,9,7,0.7778,True,0.2213,0.3397,0.1184
2011_000850,1,0,0.0,False,0.644,0.6476,0.0036
2010_006906,2,2,1.0,True,0.4345,0.3814,-0.0531
2010_001706,1,1,1.0,True,0.9516,0.8336,-0.118
2008_001359,3,0,0.0,False,0.1397,0.1572,0.0175
2012_000214,3,0,0.0,False,0.11,0.0867,-0.0233
2008_006731,2,0,0.0,False,0.1411,0.1423,0.0012
2011_002107,1,1,1.0,True,0.8828,0.937,0.0542
2008_003701,1,1,1.0,True,0.834,0.0196,-0.8144
2010_003598,1,0,0.0,False,0.0309,0.037,0.0061
2011_001027,6,6,1.0,True,0.2788,0.4262,0.1474
2009_002338,10,2,0.2,False,0.2313,0.2357,0.0044
2008_003079,5,4,0.8,True,0.3381,0.425,0.0869
2008_001514,1,1,1.0,True,0.8147,0.8113,-0.0034
2009_004623,1,0,0.0,False,0.1797,0.2132,0.0335
2010_003337,2,1,0.5,True,0.2435,0.2458,0.0023
2008_003766,1,0,0.0,False,0.6313,0.6554,0.0241
2009_004940,1,0,0.0,False,0.7708,0.7741,0.0033
2008_005156,6,5,0.8333,True,0.1456,0.095,-0.0506
2011_002203,2,1,0.5,True,0.1909,0.3879,0.197
2010_002594,1,0,0.0,False,0.5932,0.3905,-0.2027
2011_007015,1,0,0.0,False,0.1215,0.023,-0.0985
2011_001229,1,0,0.0,False,0.3136,0.3295,0.0159
2009_000461,4,2,0.5,True,0.3597,0.3508,-0.0089
2011_001597,1,1,1.0,True,0.9395,0.4473,-0.4922
2011_000609,1,1,1.0,True,0.4173,0.423,0.0057
2009_003443,1,1,1.0,True,0.015,0.195,0.18
2010_001862,4,1,0.25,False,0.3332,0.3649,0.0317
2008_003205,3,1,0.3333,False,0.4435,0.4466,0.0031
2009_000989,1,1,1.0,True,0.0155,0.8083,0.7928
2010_000409,1,0,0.0,False,0.805,0.8107,0.0057
2009_000511,2,0,0.0,False,0.4833,0.4761,-0.0072
2012_000411,1,0,0.0,False,0.0137,0.0143,0.0006
2011_002159,1,0,0.0,False,0.0345,0.0339,-0.0006
2010_002060,1,0,0.0,False,0.4492,0.4498,0.0006
2009_004095,2,2,1.0,True,0.6915,0.0179,-0.6736
2010_005615,1,0,0.0,False,0.4665,0.2867,-0.1798
2008_002179,5,4,0.8,True,0.356,0.3837,0.0277
2009_004697,1,0,0.0,False,0.4717,0.4473,-0.0244
2008_000595,1,1,1.0,True,0.1883,0.5844,0.3961
2010_005054,3,1,0.3333,False,0.2647,0.1687,-0.096
2011_003598,3,3,1.0,True,0.2863,0.5506,0.2643
2010_001923,4,4,1.0,True,0.3782,0.7687,0.3905
2008_002860,3,1,0.3333,False,0.4053,0.3084,-0.0969
2009_003530,2,1,0.5,True,0.2561,0.3451,0.089
2010_005005,2,0,0.0,False,0.3343,0.3344,0.0001
2009_003636,4,4,1.0,True,0.6702,0.6826,0.0124
2012_002816,5,3,0.6,True,0.1816,0.3045,0.1229
2011_003230,4,2,0.5,True,0.2478,0.2598,0.012
2012_000169,1,1,1.0,True,0.2306,0.4306,0.2
2008_007922,9,3,0.3333,False,0.2173,0.2001,-0.0172
2010_001732,7,5,0.7143,True,0.0697,0.1237,0.054
2008_007716,4,0,0.0,False,0.0952,0.208,0.1128
2010_000524,3,2,0.6667,True,0.5272,0.5306,0.0034
2010_001586,7,0,0.0,False,0.1983,0.1961,-0.0022
2011_005394,1,0,0.0,False,0.1255,0.1326,0.0071
2011_003474,1,0,0.0,False,0.5607,0.6734,0.1127
2011_001043,1,0,0.0,False,0.0536,0.0613,0.0077
2009_004078,1,1,1.0,True,0.008,0.6295,0.6215
2008_007629,4,4,1.0,True,0.1187,0.3852,0.2665
2012_003508,1,0,0.0,False,0.6422,0.6433,0.0011
2012_002425,1,0,0.0,False,0.119,0.1187,-0.0003
2008_004492,5,2,0.4,False,0.2405,0.287,0.0465
2008_001598,1,0,0.0,False,0.0398,0.0394,-0.0004
2008_005716,1,1,1.0,True,0.8387,0.8942,0.0555
2008_008593,4,1,0.25,False,0.1332,0.1919,0.0587
2009_000287,1,0,0.0,False,0.5986,0.6027,0.0041
2011_004971,1,0,0.0,False,0.0369,0.0377,0.0008
2008_002681,1,1,1.0,True,0.1786,0.1266,-0.052
2011_002520,4,0,0.0,False,0.2266,0.1413,-0.0853
2011_002301,3,2,0.6667,True,0.0611,0.2592,0.1981
2012_000807,3,1,0.3333,False,0.0583,0.199,0.1407
2010_000837,1,0,0.0,False,0.639,0.8259,0.1869
2007_005354,4,4,1.0,True,0.5981,0.873,0.2749
2008_006046,3,1,0.3333,False,0.1819,0.2138,0.0319
2010_001853,7,2,0.2857,False,0.2763,0.3486,0.0723
2010_006659,2,0,0.0,False,0.1555,0.1558,0.0003
2008_005850,3,0,0.0,False,0.2088,0.2722,0.0634
2010_003618,1,0,0.0,False,0.0038,0.0032,-0.0006
2011_005795,1,0,0.0,False,0.0412,0.0403,-0.0009
2009_000160,3,3,1.0,True,0.1344,0.5155,0.3811
2011_007029,1,0,0.0,False,0.3439,0.3453,0.0014
2007_001627,1,0,0.0,False,0.2286,0.2283,-0.0003
2010_001635,2,0,0.0,False,0.588,0.5788,-0.0092
2012_002915,1,0,0.0,False,0.4151,0.4213,0.0062
2009_001453,3,0,0.0,False,0.4184,0.4407,0.0223
2012_003380,2,0,0.0,False,0.216,0.2065,-0.0095
2008_005510,2,0,0.0,False,0.5451,0.5492,0.0041
2010_003950,1,1,1.0,True,0.8779,0.9211,0.0432
2009_002754,1,0,0.0,False,0.3531,0.3576,0.0045
2011_001822,8,8,1.0,True,0.4893,0.4993,0.01
2009_000397,8,8,1.0,True,0.2348,0.3985,0.1637
